,Location,Venue Latitude,Venue Longitude,geometry
71,Angleton,29.010889253124972,-95.41960983932174,"29.010889253124972, -95.41960983932174"
72,Angleton,29.048686,-95.463614,"29.048686, -95.463614"
73,Aransas Pass,28.812904340570032,-96.9736362345778,"28.812904340570032, -96.9736362345778"
74,Aransas Pass,28.0551737256245,-97.04183382921046,"28.0551737256245, -97.04183382921046"
75,Arlington,32.604619228665165,-96.83296570894731,"32.604619228665165, -96.83296570894731"
76,Arlington,32.90970424694423,-96.76689641705681,"32.90970424694423, -96.76689641705681"
77,Arlington,32.71894540950856,-96.6228583026475,"32.71894540950856, -96.6228583026475"
78,Arlington,32.681484896816166,-97.007431325385,"32.681484896816166, -97.007431325385"
79,Arlington,33.01977585347352,-96.73218231646766,"33.01977585347352, -96.73218231646766"
80,Arlington,32.83697850152016,-96.8315632234501,"32.83697850152016, -96.8315632234501"
81,Arlington,32.910011813581924,-96.85983563896895,"32.910011813581924, -96.85983563896895"
82,Arlington,33.017265,-97.218706,"33.017265, -97.218706"
83,Arlington,32.899748454098656,-96.46786524845972,"32.899748454098656, -96.46786524845972"
84,Arlington,32.827667713634135,-97.06025980308914,"32.827667713634135, -97.06025980308914"
85,Arlington,32.879918339422346,-96.62206824613038,"32.879918339422346, -96.62206824613038"
86,Arlington,32.64953532456558,-97.36883296460005,"32.64953532456558, -97.36883296460005"
87,Arlington,33.19274950941685,-97.09776771116012,"33.19274950941685, -97.09776771116012"
88,Arlington,32.712488,-97.072182,"32.712488, -97.072182"
89,Arlington,32.5966131762487,-96.94132422405329,"32.5966131762487, -96.94132422405329"
90,Arlington,32.831894691486745,-96.99418974431894,"32.831894691486745, -96.99418974431894"
91,Arlington,32.647277077871,-96.86931076241763,"32.647277077871, -96.86931076241763"
92,Arlington,32.99964267215082,-96.8563041397705,"32.99964267215082, -96.8563041397705"
93,Arlington,33.0104287831526,-96.79479422453605,"33.0104287831526, -96.79479422453605"
94,Arlington,32.749187,-96.874473,"32.749187, -96.874473"
95,Arlington,32.64822903083174,-96.78213826489032,"32.64822903083174, -96.78213826489032"
96,Arlington,33.00386274098593,-96.98523840729574,"33.00386274098593, -96.98523840729574"
97,Arlington,32.72091580701072,-96.83452710463938,"32.72091580701072, -96.83452710463938"
98,Arlington,32.79861915328516,-96.63277985655752,"32.79861915328516, -96.63277985655752"
99,Arlington,32.78343743882278,-96.8143369736843,"32.78343743882278, -96.8143369736843"
100,Arlington,32.65923398578164,-97.1331717423596,"32.65923398578164, -97.1331717423596"
101,Arlington,33.17796299894162,-96.88893777034673,"33.17796299894162, -96.88893777034673"
102,Arlington,32.62952,-97.32045,"32.62952, -97.32045"
103,Arlington,32.660959999999996,-96.902636,"32.660959999999996, -96.902636"
104,Arlington,33.06741909268082,-96.88790036224088,"33.06741909268082, -96.88790036224088"
105,Arlington,32.863819192673624,-96.6835844033726,"32.863819192673624, -96.6835844033726"
106,Arlington,32.91602,-97.25469,"32.91602, -97.25469"
107,Arlington,32.944830446559244,-96.64903047449286,"32.944830446559244, -96.64903047449286"
108,Arlington,32.739591361912716,-97.24020044140516,"32.739591361912716, -97.24020044140516"
109,Arlington,32.712819,-97.281003,"32.712819, -97.281003"
110,Arlington,32.961745,-96.346127,"32.961745, -96.346127"
111,Arlington,32.678735,-97.463908,"32.678735, -97.463908"
112,Arlington,33.024061,-97.274347,"33.024061, -97.274347"
113,Arlington,32.633273,-96.701039,"32.633273, -96.701039"
114,Arlington,32.753143584114184,-97.0976252571744,"32.753143584114184, -97.0976252571744"
115,Arlington,32.677029556859516,-97.19646230254916,"32.677029556859516, -97.19646230254916"
116,Arlington,32.838467,-97.152054,"32.838467, -97.152054"
117,Arlington,32.753703,-97.171436,"32.753703, -97.171436"
118,Arlington,32.84323568438349,-97.20179757019955,"32.84323568438349, -97.20179757019955"
119,Arlington,32.57810677545382,-97.12922948597368,"32.57810677545382, -97.12922948597368"
120,Arlington,32.73108679752506,-97.07049304393549,"32.73108679752506, -97.07049304393549"
121,Arlington,32.75691261720746,-96.99534332324966,"32.75691261720746, -96.99534332324966"
122,Arlington,32.84049697685643,-97.08252516034455,"32.84049697685643, -97.08252516034455"
123,Atascocita,30.39688418199687,-96.06990246265802,"30.39688418199687, -96.06990246265802"
124,Atascocita,29.937612,-95.35575,"29.937612, -95.35575"
125,Atascocita,29.888042,-95.063643,"29.888042, -95.063643"
126,Atascocita,29.854865000000004,-95.188027,"29.854865000000004, -95.188027"
127,Atascocita,30.005391072255833,-95.26619148137875,"30.005391072255833, -95.26619148137875"
128,Atascocita,29.863292,-95.18682,"29.863292, -95.18682"
129,Atascocita,29.979622,-95.247744,"29.979622, -95.247744"
130,Atascocita,30.104015000000004,-95.233413,"30.104015000000004, -95.233413"
131,Atascocita,30.005619823009383,-95.26600131015267,"30.005619823009383, -95.26600131015267"
132,Atascocita,29.935170966776397,-95.21560365772523,"29.935170966776397, -95.21560365772523"
133,Athens,32.34926238569391,-95.34268242411072,"32.34926238569391, -95.34268242411072"
134,Athens,32.500792,-94.736035,"32.500792, -94.736035"
135,Athens,32.332685,-95.27194200000001,"32.332685, -95.27194200000001"
136,Athens,32.79311837286256,-96.70114744488683,"32.79311837286256, -96.70114744488683"
137,Athens,32.349415,-95.342167,"32.349415, -95.342167"
138,Athens,32.623129,-96.909006,"32.623129, -96.909006"
139,Athens,32.30906571033188,-95.27232356852228,"32.30906571033188, -95.27232356852228"
140,Athens,32.528563,-94.78681999999999,"32.528563, -94.78681999999999"
141,Athens,32.429256,-96.839085,"32.429256, -96.839085"
142,Athens,32.332695,-95.272375,"32.332695, -95.272375"
143,Athens,32.90660853517506,-96.5699882231898,"32.90660853517506, -96.5699882231898"
144,Athens,32.74506060074232,-96.81180164387814,"32.74506060074232, -96.81180164387814"
145,Athens,32.80497584876505,-96.7773262725233,"32.80497584876505, -96.7773262725233"
146,Athens,32.210115,-95.829718,"32.210115, -95.829718"
147,Athens,32.86116390150846,-96.64317140938736,"32.86116390150846, -96.64317140938736"
148,Athens,32.77829513831506,-96.91847901664076,"32.77829513831506, -96.91847901664076"
